"Step","breezy-bee-11 - train/loss","breezy-bee-11 - train/loss__MIN","breezy-bee-11 - train/loss__MAX"
"0","3.1555","3.1555","3.1555"
"4","1.5833","1.5833","1.5833"
"9","1.2001","1.2001","1.2001"
"13","1.3904","1.3904","1.3904"
"20","0.5554","0.5554","0.5554"
"27","1.4052","1.4052","1.4052"
"28","0.4578","0.4578","0.4578"
"34","0.2451","0.2451","0.2451"
"38","1.001","1.001","1.001"
"41","1.3976","1.3976","1.3976"
"45","1.6598","1.6598","1.6598"
"47","0.0752","0.0752","0.0752"
"51","1.9931","1.9931","1.9931"
"52","0.8872","0.8872","0.8872"
"55","1.0696","1.0696","1.0696"
"62","0.5636","0.5636","0.5636"
"68","0.4002","0.4002","0.4002"
"69","0.4002","0.4002","0.4002"
"70","1.4964","1.4964","1.4964"
"71","1.4964","1.4964","1.4964"
"75","0.7805","0.7805","0.7805"
"77","0.7026","0.7026","0.7026"
"79","0.8233","0.8233","0.8233"
"81","0.4812","0.4812","0.4812"
"82","0.2435","0.2435","0.2435"
"84","0.7481","0.7481","0.7481"
"86","1.6737","1.6737","1.6737"
"88","1.38","1.38","1.38"
"91","1.1094","1.1094","1.1094"
"94","1.4347","1.4347","1.4347"
"98","0.2137","0.2137","0.2137"
"109","0.5136","0.5136","0.5136"
"110","0.2343","0.2343","0.2343"
"111","0.2343","0.2343","0.2343"
"112","1.186","1.186","1.186"
"120","0.9482","0.9482","0.9482"
"127","0.8515","0.8515","0.8515"
"130","0.3588","0.3588","0.3588"
"147","1.1946","1.1946","1.1946"
"149","0.3807","0.3807","0.3807"
"151","2.317","2.317","2.317"
"156","0.3255","0.3255","0.3255"
"162","0.2048","0.2048","0.2048"
"169","0.2118","0.2118","0.2118"
"170","0.6362","0.6362","0.6362"
"171","0.6362","0.6362","0.6362"
"173","1.1069","1.1069","1.1069"
"179","0.5412","0.5412","0.5412"
"180","0.5576","0.5576","0.5576"
"186","1.1143","1.1143","1.1143"
"189","0.5527","0.5527","0.5527"
"190","2.6349","2.6349","2.6349"
"191","2.6349","2.6349","2.6349"
"196","0.0804","0.0804","0.0804"
"198","0.8152","0.8152","0.8152"
"199","0.8152","0.8152","0.8152"
"204","0.5013","0.5013","0.5013"
"208","0.2584","0.2584","0.2584"
"215","0.3132","0.3132","0.3132"
"217","1.3934","1.3934","1.3934"
"223","0.6109","0.6109","0.6109"
"225","0.5401","0.5401","0.5401"
"229","0.3473","0.3473","0.3473"
"235","0.3082","0.3082","0.3082"
"244","0.8386","0.8386","0.8386"
"254","0.32","0.32","0.32"
"258","0.2195","0.2195","0.2195"
"261","1.1245","1.1245","1.1245"
"262","0.7849","0.7849","0.7849"
"265","0.1198","0.1198","0.1198"
"267","1.1769","1.1769","1.1769"
"268","0.607","0.607","0.607"
"269","0.607","0.607","0.607"
"270","1.1159","1.1159","1.1159"
"272","0.3085","0.3085","0.3085"
"273","0.3085","0.3085","0.3085"
"274","0.1054","0.1054","0.1054"
"279","1.5953","1.5953","1.5953"
"280","1.6997","1.6997","1.6997"
"288","0.3101","0.3101","0.3101"
"291","1.1732","1.1732","1.1732"
"300","1.2639","1.2639","1.2639"
"303","0.3969","0.3969","0.3969"
"308","0.2091","0.2091","0.2091"
"309","0.2091","0.2091","0.2091"
"313","0.844","0.844","0.844"
"316","0.5233","0.5233","0.5233"
"318","1.2231","1.2231","1.2231"
"319","1.2231","1.2231","1.2231"
"321","0.5197","0.5197","0.5197"
"327","0.4733","0.4733","0.4733"
"330","0.2404","0.2404","0.2404"
"333","0.2991","0.2991","0.2991"
"334","1.0129","1.0129","1.0129"
"343","1.2911","1.2911","1.2911"
"344","1.1938","1.1938","1.1938"
"348","1.4941","1.4941","1.4941"
"356","0.4796","0.4796","0.4796"
"362","0.3435","0.3435","0.3435"
"368","1.2944","1.2944","1.2944"
"375","0.531","0.531","0.531"
"385","0.2777","0.2777","0.2777"
"390","1.4909","1.4909","1.4909"
"398","1.4142","1.4142","1.4142"
"399","1.4142","1.4142","1.4142"
"403","0.5605","0.5605","0.5605"
"404","0.7681","0.7681","0.7681"
"405","0.7681","0.7681","0.7681"
"406","0.3687","0.3687","0.3687"
"411","1.0792","1.0792","1.0792"
"414","1.5661","1.5661","1.5661"
"423","1.593","1.593","1.593"
"424","0.3404","0.3404","0.3404"
"425","0.3404","0.3404","0.3404"
"426","0.3193","0.3193","0.3193"
"428","1.2557","1.2557","1.2557"
"436","0.2338","0.2338","0.2338"
"440","1.3071","1.3071","1.3071"
"442","1.4487","1.4487","1.4487"
"443","1.4487","1.4487","1.4487"
"444","0.4409","0.4409","0.4409"
"446","0.3467","0.3467","0.3467"
"454","1.5308","1.5308","1.5308"
"458","1.6144","1.6144","1.6144"
"464","0.1985","0.1985","0.1985"
"469","0.5186","0.5186","0.5186"
"470","1.1492","1.1492","1.1492"
"475","1.1721","1.1721","1.1721"
"476","0.0671","0.0671","0.0671"
"477","0.0671","0.0671","0.0671"
"479","0.744","0.744","0.744"
"482","1.6056","1.6056","1.6056"
"485","1.1431","1.1431","1.1431"
"489","0.3514","0.3514","0.3514"
"491","0.189","0.189","0.189"
"501","0.6317","0.6317","0.6317"
"513","0.1321","0.1321","0.1321"
"514","1.2351","1.2351","1.2351"
"516","0.5612","0.5612","0.5612"
"519","0.605","0.605","0.605"
"524","1.3868","1.3868","1.3868"
"526","1.7675","1.7675","1.7675"
"528","1.288","1.288","1.288"
"534","0.4988","0.4988","0.4988"
"537","0.3503","0.3503","0.3503"
"541","1.0641","1.0641","1.0641"
"546","0.3467","0.3467","0.3467"
"548","0.6483","0.6483","0.6483"
"553","0.8877","0.8877","0.8877"
"554","0.2192","0.2192","0.2192"
"557","0.3223","0.3223","0.3223"
"559","1.4744","1.4744","1.4744"
"560","1.6523","1.6523","1.6523"
"564","1.5571","1.5571","1.5571"
"571","1.7942","1.7942","1.7942"
"574","1.2105","1.2105","1.2105"
"581","1.2614","1.2614","1.2614"
"582","0.6544","0.6544","0.6544"
"585","1.7428","1.7428","1.7428"
"590","1.054","1.054","1.054"
"591","1.054","1.054","1.054"
"596","0.4399","0.4399","0.4399"
"599","0.1454","0.1454","0.1454"
"601","1.0421","1.0421","1.0421"
"603","0.2419","0.2419","0.2419"
"604","1.7721","1.7721","1.7721"
"613","1.0621","1.0621","1.0621"
"617","0.1441","0.1441","0.1441"
"618","0.4892","0.4892","0.4892"
"619","0.4892","0.4892","0.4892"
"621","1.7444","1.7444","1.7444"
"622","0.4619","0.4619","0.4619"
"632","1.7681","1.7681","1.7681"
"635","0.4742","0.4742","0.4742"
"637","0.4804","0.4804","0.4804"
"641","0.6534","0.6534","0.6534"
"652","0.4213","0.4213","0.4213"
"654","1.7439","1.7439","1.7439"
"657","0.9513","0.9513","0.9513"
"659","0.5542","0.5542","0.5542"
"663","1.1193","1.1193","1.1193"
"667","0.8411","0.8411","0.8411"
"670","1.6243","1.6243","1.6243"
"672","0.9127","0.9127","0.9127"
"674","0.1242","0.1242","0.1242"
"675","0.1242","0.1242","0.1242"
"676","1.2655","1.2655","1.2655"
"679","0.7662","0.7662","0.7662"
"689","1.4737","1.4737","1.4737"
"690","0.7088","0.7088","0.7088"
"692","0.4995","0.4995","0.4995"
"693","0.4995","0.4995","0.4995"
"702","0.0549","0.0549","0.0549"
"712","1.2859","1.2859","1.2859"
"713","1.2859","1.2859","1.2859"
"717","0.2959","0.2959","0.2959"
"719","0.8191","0.8191","0.8191"
"727","0.7229","0.7229","0.7229"
"729","0.3752","0.3752","0.3752"
"730","1.0813","1.0813","1.0813"
"731","1.0813","1.0813","1.0813"
"734","2.4162","2.4162","2.4162"
"738","0.2527","0.2527","0.2527"
"740","0.459","0.459","0.459"
"746","0.8361","0.8361","0.8361"
"748","1.3341","1.3341","1.3341"
"749","1.3341","1.3341","1.3341"
"759","1.6561","1.6561","1.6561"
"762","1.0164","1.0164","1.0164"
"766","1.3316","1.3316","1.3316"
"774","0.5783","0.5783","0.5783"
"775","0.5783","0.5783","0.5783"
"778","0.1739","0.1739","0.1739"
"779","0.1739","0.1739","0.1739"
"782","0.9312","0.9312","0.9312"
"791","2.0979","2.0979","2.0979"
"792","1.2217","1.2217","1.2217"
"800","0.109","0.109","0.109"
"804","0.8765","0.8765","0.8765"
"809","0.1496","0.1496","0.1496"
"818","1.0429","1.0429","1.0429"
"819","1.0429","1.0429","1.0429"
"820","0.8673","0.8673","0.8673"
"823","1.3934","1.3934","1.3934"
"824","0.4585","0.4585","0.4585"
"830","0.7188","0.7188","0.7188"
"836","0.3478","0.3478","0.3478"
"840","2.1483","2.1483","2.1483"
"844","0.7747","0.7747","0.7747"
"847","1.9569","1.9569","1.9569"
"859","0.2241","0.2241","0.2241"
"860","1.0802","1.0802","1.0802"
"862","1.3831","1.3831","1.3831"
"864","0.4439","0.4439","0.4439"
"865","0.4439","0.4439","0.4439"
"877","0.3866","0.3866","0.3866"
"880","0.6443","0.6443","0.6443"
"882","0.2338","0.2338","0.2338"
"887","1.3051","1.3051","1.3051"
"896","2.0953","2.0953","2.0953"
"905","0.6092","0.6092","0.6092"
"908","1.0865","1.0865","1.0865"
"912","0.5344","0.5344","0.5344"
"915","0.5021","0.5021","0.5021"
"920","0.8713","0.8713","0.8713"
"922","0.5124","0.5124","0.5124"
"927","1.4567","1.4567","1.4567"
"936","1.2046","1.2046","1.2046"
"940","0.907","0.907","0.907"
"941","0.907","0.907","0.907"
"943","0.3512","0.3512","0.3512"
"948","0.9165","0.9165","0.9165"
"952","1.5272","1.5272","1.5272"
"955","0.0727","0.0727","0.0727"
"957","1.6272","1.6272","1.6272"
"959","1.1579","1.1579","1.1579"
"966","0.5019","0.5019","0.5019"
"967","0.5019","0.5019","0.5019"
"973","0.4711","0.4711","0.4711"
"975","0.5257","0.5257","0.5257"
"977","1.2902","1.2902","1.2902"
"978","1.1127","1.1127","1.1127"
"981","1.2466","1.2466","1.2466"
