id,inp_count,out_count
87,66,155
2547,79,109
5190,16,23
658,283,3
3904,39,55
4137,287,4408
3146,110,83
455,57,12
4571,41,109
2059,16,39
4781,119,147
3454,55,185
2022,287,47
1682,141,94
4155,408,68
5164,161,206
3955,20,48
896,36,168
538,356,24
656,354,3
149,494,434
592,79,52
600,281,800
945,118,119
1479,49,31
1750,56,19
4585,30,29
3019,64,216
240,66,302
3373,19,13
2234,323,158
1898,121,185
1219,16,721
230,253,69
3277,46,132
3538,18,42
1925,44,71
4030,131,196
2649,163,144
593,183,40
1528,117,140
3200,62,71
5014,125,205
3720,16,39
1019,31,8
1779,38,685
2352,30,58
2645,175,168
575,32,35
5093,150,102
4765,114,104
1977,108,1525
3334,16,40
4652,269,2145
3995,62,76
4858,188,29
1725,63,94
3580,258,57
688,117,63
5092,23,6
1920,69,121
1038,16,39
0,160,105
2705,115,14
4315,117,1064
5166,48,19
5224,99,121
4712,111,184
2429,134,105
163,90,14
275,416,206
2575,46,73
4864,16,39
1166,118,106
4972,19,76
3761,62,12
4989,42,120
4456,62,42
316,109,608
999,108,758
3938,90,10
3396,266,34
3189,79,79
2620,39,28
5050,471,37
3474,107,61
2457,71,299
3391,20,29
1013,35,50
4913,34,78
4908,34,627
1831,334,180
4959,307,58
3052,21,49
3757,40,10
4529,88,57
1056,34,50
4339,96,38
3923,151,106
4639,36,63
5036,33,17
1052,55,46
3030,132,127
3461,64,55
4153,161,16
3040,50,57
3639,43,81
3970,40,14
1564,420,9
1498,223,101
292,16,39
2486,25,37
998,365,104
3162,52,101
2774,64,43
274,276,118
5091,48,21
1896,250,29
5126,108,61
3251,109,133
992,229,23
2433,95,621
296,224,50
719,447,18
2818,332,29
2065,190,936
3989,23,17
1234,42,38
5077,391,318
5242,67,185
4457,16,39
4001,16,39
2263,74,49
3080,257,15
2071,448,434
657,405,30
4970,21,19
3643,81,1015
2052,137,17
1776,33,37
2541,85,17
286,112,139
905,301,1796
4629,50,133
1315,24,35
1206,16,39
2129,230,115
602,102,95
4034,237,63
521,364,714
1415,16,40
4938,107,18
7,135,88
3379,61,15
4376,86,19
1557,31,20
4907,45,139
1959,418,94
824,112,1072
1082,25,62
4630,122,653
2827,53,15
2153,180,69
4357,35,10
1921,48,15
3406,47,39
479,41,109
938,85,17
4696,24,199
833,330,2303
1887,34,32
3492,74,77
5143,16,39
941,53,8
2465,267,169
1168,145,38
3036,39,43
574,62,42
4169,115,152
3670,143,316
4253,379,274
1861,325,25
655,85,22
614,322,17
2753,76,39
4465,349,137
373,269,789
3102,54,141
3239,23,35
467,27,104
2058,126,58
3930,107,288
2475,290,12
2231,45,113
1646,111,10
2492,71,852
2434,244,2
1626,101,16
1036,22,21
4753,26,52
571,179,140
189,315,50
4268,44,64
2628,95,10
4523,47,1099
616,71,30
2388,62,38
3654,15,17
2548,293,622
3314,90,114
2664,438,17
4855,88,109
2842,52,173
415,251,36
910,80,289
2033,20,52
402,71,88
4007,204,290
4552,48,70
1183,82,14
4987,17,141
4075,106,127
1432,220,134
4839,34,30
2407,27,58
3028,16,39
5109,70,47
1253,24,18
2904,449,423
3585,16,39
1525,347,79
3669,93,21
2732,187,12
1571,47,107
932,98,81
3916,100,51
4572,75,22
1335,16,39
3333,72,25
897,50,66
3958,54,24
625,186,56
222,91,137
1765,197,36
2176,145,463
967,16,39
678,56,103
3195,16,39
2136,44,30
173,472,28
4813,15,40
2957,388,326
4737,14,19
662,263,3
4218,27,25
1537,31,362
590,98,49
3435,39,162
4789,236,585
4440,159,24
4039,53,272
2746,346,25
4302,47,65
4215,16,39
2013,31,10
689,185,44
3086,210,36
684,69,13
3627,170,991
3085,410,1169
2259,95,843
2568,67,67
4958,105,195
3798,263,26
4055,25,51
990,218,11
589,224,28
3790,134,184
4342,90,31
2190,16,39
2038,16,39
1766,228,67
3619,80,316
5069,44,21
2260,225,776
4588,171,101
4495,150,249
4736,29,84
5226,36,669
893,42,118
646,128,28
2349,60,43
3990,25,42
3591,53,87
4534,68,24
1703,71,102
4490,62,29
4405,41,55
2808,246,21
1147,16,39
1913,68,11
5068,29,29
1378,63,170
4929,68,110
5008,16,39
1986,76,7
4348,176,2603
1090,68,51
3309,27,53
1422,69,227
510,79,49
4138,187,263
1778,290,462
4142,193,200
4509,245,61
2692,105,19
3612,157,19
2807,332,56
1475,73,30
789,280,161
3740,95,311
3183,190,153
925,91,16
1221,71,1518
1068,56,80
1433,440,636
584,30,79
1176,16,39
1213,456,483
4214,13,35
3750,205,77
2423,99,451
4131,105,268
64,90,139
2979,151,244
2094,25,14
4108,43,85
5195,18,34
1155,39,47
3016,28,19
3227,374,17
1011,35,86
1157,21,23
203,243,430
3799,31,84
2248,122,444
2414,87,13
5152,67,25
2185,24,175
2764,72,46
4198,88,37
3728,33,74
248,35,14
3404,291,310
2085,148,180
3157,20,44
5115,80,25
1507,45,26
2344,169,1298
747,137,40
1203,44,10
4920,53,568
3017,94,45
1916,32,8
2950,98,259
1111,89,110
4390,16,39
2421,7,40
342,36,50
2447,69,155
1519,187,183
1110,284,198
2322,55,65
4369,16,39
1892,7,4
3213,182,140
2781,331,114
3494,194,52
3447,40,15
3535,15,52
1615,18,88
2079,16,39
481,86,16
5218,39,21
2614,51,49
5228,41,53
2647,84,30
393,26,35
2348,401,255
1215,133,149
4329,227,28
2318,330,223
1978,368,643
1129,190,192
24,439,2847
2228,32,39
1780,124,129
5119,47,20
3313,18,252
4678,80,37
4182,21,31
2494,62,186
493,14,41
1144,21,13
92,219,45
4265,263,41
5031,33,11
310,30,25
495,148,70
234,26,35
2586,3,3
1470,21,13
258,61,132
2856,16,39
642,124,84
4654,154,81
2415,160,622
4177,199,12
2450,100,25
711,284,146
5222,60,129
2452,132,781
4968,21,13
4160,43,78
3857,112,252
3536,16,39
831,247,1611
4568,103,132
3530,35,33
3993,220,455
5085,55,45
5095,195,298
735,66,89
3272,78,73
2830,16,39
2336,16,24
2748,450,15
2002,31,42
524,348,55
1816,434,120
2395,154,132
3839,80,42
2489,273,60
834,93,6076
563,158,153
564,156,272
2926,175,70
4086,352,19
2567,47,19
2372,440,274
3583,22,25
3666,62,79
2910,167,296
1620,124,340
2035,16,39
700,39,79
2871,93,200
3191,22,4
401,16,39
4151,157,721
124,55,29
3778,85,17
3136,65,109
2381,72,20
3656,18,42
1737,16,39
3012,126,85
1033,76,26
3661,21,29
4471,430,85
3641,313,197
3134,72,62
2584,256,50
4900,367,330
4583,29,26
2350,240,4
2909,188,164
2199,59,18
4595,58,15
823,391,3551
1379,33,14
4988,22,28
1517,303,661
1316,37,103
2878,32,119
468,11,99
1801,201,57
397,15,11
2730,37,27
253,297,36
4491,56,75
4828,106,15
4633,350,440
439,207,362
2253,16,17
91,53,23
901,43,79
1105,140,220
2999,169,50
3304,120,20
4104,480,178
913,53,416
83,56,119
2412,80,26
4815,21,72
3780,152,147
3011,54,131
4608,56,306
2445,240,116
2679,134,104
4363,56,11
4834,144,144
3913,119,110
2341,48,184
456,50,9
424,63,43
4978,58,75
3519,41,133
110,37,22
4255,124,226
3804,171,474
2106,79,42
1566,26,127
3357,21,13
4492,438,226
2789,100,473
5048,61,28
1710,388,1012
3783,211,1421
1865,62,9
3835,59,92
3803,16,39
1929,16,40
2524,64,158
2096,30,38
752,56,55
2611,171,39
3366,16,39
534,68,46
497,99,623
4580,37,44
4565,201,74
184,322,35
3755,27,204
5055,71,35
3468,170,30
3045,23,158
2425,208,7
2275,119,12
962,124,78
1553,43,24
3687,45,24
791,100,110
2460,132,700
2621,16,39
3151,154,44
4227,62,12
1288,39,112
549,41,16
2761,16,39
3141,22,55
3413,135,9
1658,16,247
3662,16,58
2367,25,11
2206,24,53
818,234,3183
5134,33,18
3858,38,44
453,72,74
129,16,39
4368,128,124
4081,344,140
874,82,132
1506,107,55
1484,16,83
2311,458,145
1696,215,49
1762,20,130
1934,111,432
5075,295,190
431,18,9
2478,223,11
940,30,14
5232,171,10
4380,116,98
1454,236,292
2825,70,10
4793,40,54
2293,348,9
1053,104,15
489,19,43
4260,346,264
1156,20,32
2108,16,39
4543,16,39
739,338,45
2598,183,174
690,16,34
2561,45,57
2113,119,626
4064,33,35
2852,383,24
3539,284,214
4334,68,183
5025,317,20
3029,18,336
2037,153,1039
421,413,39
2663,54,57
3218,29,86
2990,115,30
902,247,610
585,263,88
96,125,61
4017,66,168
2141,321,1157
2900,35,12
4782,218,298
3001,80,47
2699,83,16
1804,124,73
1124,43,85
2120,32,113
2700,22,391
2867,54,54
262,164,115
3947,87,39
4607,16,39
1214,103,1119
1946,172,6
4326,245,15
174,140,701
3599,42,940
4960,75,20
3445,54,169
3559,256,1479
3302,87,1022
3756,159,42
4068,140,46
1955,222,54
3211,110,264
1533,348,313
4829,46,10
2887,132,53
3500,39,60
4697,15,18
4895,165,782
2908,155,365
1559,34,21
638,33,18
45,114,12
604,62,4
3034,78,58
3879,261,43
271,341,12
1435,130,12
2865,296,53
4082,126,40
4430,16,39
1549,113,228
289,96,47
2850,124,20
1817,248,363
1859,129,18
4211,20,48
891,164,59
2019,155,11
2665,110,131
2172,24,88
370,144,196
5221,96,264
1724,27,107
4956,229,268
4943,367,107
517,471,47
5160,112,164
4662,156,25
4515,120,1182
4884,259,417
3731,105,830
4134,235,2246
1904,16,39
4715,45,71
2622,52,43
4071,119,1278
3941,64,58
4163,32,23
4923,325,28
3912,70,43
1360,454,162
3180,170,151
4743,61,155
4746,61,68
378,171,138
4006,140,173
4866,234,92
2733,60,19
4835,12,20
1527,326,193
705,24,54
2265,89,167
679,215,98
2662,120,87
2844,60,447
4095,16,39
3956,25,10
3407,40,135
3255,32,80
3716,27,11
2669,174,40
1572,56,109
4502,81,763
121,244,62
1968,43,85
1603,16,73
2570,84,18
1314,38,636
2836,16,39
5089,23,6
1235,31,20
3973,134,68
62,94,91
4691,89,58
4512,65,159
5204,16,46
1869,255,722
2361,42,18
3667,76,26
2644,63,256
2735,242,31
4287,305,161
4180,96,24
3779,388,551
757,75,56
4504,70,229
1170,87,16
3675,128,487
1478,24,33
5174,196,265
77,17,80
2078,226,28
4046,60,33
1902,39,46
793,100,110
4675,40,26
1076,86,1233
2847,39,18
1272,55,308
4842,43,14
4379,16,40
1204,44,18
1325,156,122
2941,268,149
4304,89,105
4526,68,111
1069,99,167
3490,41,24
2863,22,11
1698,266,831
5049,290,10
1974,258,421
3392,45,57
5251,56,1167
3649,367,6
473,23,64
5210,76,28
1177,96,467
4157,79,86
3235,16,39
698,55,43
1655,259,407
3652,332,131
5105,16,77
5167,113,91
3861,20,31
677,117,76
722,32,8
1333,22,26
519,56,179
1705,243,1402
3177,144,14
4870,16,39
3209,112,13
1569,16,39
4058,77,43
4865,111,254
2750,203,11
3926,71,107
54,16,39
4514,38,56
3303,84,120
916,26,62
1149,90,98
769,53,55
4094,21,13
2805,40,13
5135,33,18
1787,87,191
1783,145,53
2594,136,60
3636,223,191
4446,59,73
5234,104,180
5225,112,126
4718,208,161
5005,339,218
4300,63,38
2779,406,356
1488,190,51
3960,135,136
1502,16,39
1277,36,60
1511,66,35
4190,368,1461
1937,348,230
1582,65,18
3319,16,39
39,373,580
3655,15,113
2514,239,396
3280,64,84
2528,16,39
2371,283,180
5162,100,178
1381,71,74
380,315,17
2300,3,22
2870,215,810
3074,192,862
3225,61,29
1809,151,45
4168,119,145
1550,16,39
3345,36,92
1798,16,39
3934,23,16
1261,89,22
2992,154,1273
4374,247,42
3998,16,39
404,21,177
4161,108,117
2072,28,256
1459,61,10
1973,154,534
838,175,718
503,120,356
148,90,12
840,338,1220
352,27,29
