"Step","polar-music-6 - train/loss","polar-music-6 - train/loss__MIN","polar-music-6 - train/loss__MAX"
"12","1.6059","1.6059","1.6059"
"16","0.5466","0.5466","0.5466"
"18","0.7435","0.7435","0.7435"
"23","0.2456","0.2456","0.2456"
"27","0.5751","0.5751","0.5751"
"28","1.444","1.444","1.444"
"35","0.5614","0.5614","0.5614"
"36","1.1518","1.1518","1.1518"
"37","1.1518","1.1518","1.1518"
"38","1.4548","1.4548","1.4548"
"39","1.4548","1.4548","1.4548"
"41","0.9645","0.9645","0.9645"
"43","1.1746","1.1746","1.1746"
"47","1.2529","1.2529","1.2529"
"48","0.4609","0.4609","0.4609"
"50","0.6805","0.6805","0.6805"
"51","0.6805","0.6805","0.6805"
"54","0.5443","0.5443","0.5443"
"65","1.3179","1.3179","1.3179"
"67","1.3431","1.3431","1.3431"
"73","0.2005","0.2005","0.2005"
"75","1.221","1.221","1.221"
"76","1.4114","1.4114","1.4114"
"81","1.0005","1.0005","1.0005"
"90","0.7984","0.7984","0.7984"
"91","0.7984","0.7984","0.7984"
"92","1.0057","1.0057","1.0057"
"96","0.3399","0.3399","0.3399"
"98","0.4401","0.4401","0.4401"
"100","0.4615","0.4615","0.4615"
"101","0.4615","0.4615","0.4615"
"107","1.3094","1.3094","1.3094"
"112","1.7879","1.7879","1.7879"
"113","1.7879","1.7879","1.7879"
"116","0.8189","0.8189","0.8189"
"119","0.2268","0.2268","0.2268"
"120","1.0169","1.0169","1.0169"
"121","1.0169","1.0169","1.0169"
"126","0.3201","0.3201","0.3201"
"129","0.8001","0.8001","0.8001"
"130","0.73","0.73","0.73"
"134","0.3734","0.3734","0.3734"
"135","0.3734","0.3734","0.3734"
"136","1.0521","1.0521","1.0521"
"143","2.0229","2.0229","2.0229"
"146","0.8481","0.8481","0.8481"
"148","0.6821","0.6821","0.6821"
"157","0.872","0.872","0.872"
"159","1.6596","1.6596","1.6596"
"161","0.5557","0.5557","0.5557"
"162","1.0323","1.0323","1.0323"
"163","1.0323","1.0323","1.0323"
"166","0.4351","0.4351","0.4351"
"167","0.4351","0.4351","0.4351"
"169","0.3787","0.3787","0.3787"
"171","0.8203","0.8203","0.8203"
"175","0.994","0.994","0.994"
"179","0.5548","0.5548","0.5548"
"193","0.9501","0.9501","0.9501"
"195","0.2134","0.2134","0.2134"
"196","0.869","0.869","0.869"
"200","0.9841","0.9841","0.9841"
"202","1.1209","1.1209","1.1209"
"207","0.16","0.16","0.16"
"218","0.9578","0.9578","0.9578"
"220","1.3498","1.3498","1.3498"
"224","1.2021","1.2021","1.2021"
"227","0.6365","0.6365","0.6365"
"231","0.6986","0.6986","0.6986"
"234","0.6553","0.6553","0.6553"
"235","0.6553","0.6553","0.6553"
"238","1.2486","1.2486","1.2486"
"247","1.4874","1.4874","1.4874"
"250","0.9281","0.9281","0.9281"
"252","0.7871","0.7871","0.7871"
"255","1.7189","1.7189","1.7189"
"262","0.4088","0.4088","0.4088"
"264","0.9988","0.9988","0.9988"
"265","0.9988","0.9988","0.9988"
"267","0.2974","0.2974","0.2974"
"271","0.4872","0.4872","0.4872"
"272","1.5741","1.5741","1.5741"
"276","0.7535","0.7535","0.7535"
"277","0.7535","0.7535","0.7535"
"284","1.9135","1.9135","1.9135"
"289","0.9792","0.9792","0.9792"
"291","2.2708","2.2708","2.2708"
"294","0.7601","0.7601","0.7601"
"295","0.7601","0.7601","0.7601"
"301","1.1569","1.1569","1.1569"
"303","0.8543","0.8543","0.8543"
"305","0.7065","0.7065","0.7065"
"308","0.754","0.754","0.754"
"310","1.0705","1.0705","1.0705"
"311","1.0705","1.0705","1.0705"
"312","0.3684","0.3684","0.3684"
"313","0.3684","0.3684","0.3684"
"317","1.239","1.239","1.239"
"321","0.6307","0.6307","0.6307"
"322","1.333","1.333","1.333"
"330","0.9628","0.9628","0.9628"
"331","0.9628","0.9628","0.9628"
"335","0.3086","0.3086","0.3086"
"336","0.1268","0.1268","0.1268"
"338","1.0257","1.0257","1.0257"
"341","0.8336","0.8336","0.8336"
"342","0.9184","0.9184","0.9184"
"344","1.0308","1.0308","1.0308"
"346","0.8915","0.8915","0.8915"
"349","0.1915","0.1915","0.1915"
"350","0.7271","0.7271","0.7271"
"353","0.8666","0.8666","0.8666"
"357","0.2643","0.2643","0.2643"
"359","0.4545","0.4545","0.4545"
"360","1.1168","1.1168","1.1168"
"362","1.8818","1.8818","1.8818"
"364","0.2193","0.2193","0.2193"
"365","0.2193","0.2193","0.2193"
"368","0.7466","0.7466","0.7466"
"369","0.7466","0.7466","0.7466"
"370","0.2563","0.2563","0.2563"
"371","0.2563","0.2563","0.2563"
"373","1.1474","1.1474","1.1474"
"376","0.2242","0.2242","0.2242"
"377","0.2242","0.2242","0.2242"
"379","0.9413","0.9413","0.9413"
"382","1.5055","1.5055","1.5055"
"384","0.2233","0.2233","0.2233"
"387","1.1378","1.1378","1.1378"
"388","0.5587","0.5587","0.5587"
"392","0.3095","0.3095","0.3095"
"394","2.165","2.165","2.165"
"395","2.165","2.165","2.165"
"396","1.0872","1.0872","1.0872"
"406","0.6432","0.6432","0.6432"
"409","0.6248","0.6248","0.6248"
"420","1.8711","1.8711","1.8711"
"425","0.549","0.549","0.549"
"427","1.8731","1.8731","1.8731"
"428","0.4738","0.4738","0.4738"
"429","0.4738","0.4738","0.4738"
"430","0.9638","0.9638","0.9638"
"434","0.5785","0.5785","0.5785"
"436","1.3355","1.3355","1.3355"
"438","1.127","1.127","1.127"
"440","1.1058","1.1058","1.1058"
"442","0.7588","0.7588","0.7588"
"446","0.8961","0.8961","0.8961"
"447","0.8961","0.8961","0.8961"
"454","2.095","2.095","2.095"
"456","0.6282","0.6282","0.6282"
"459","0.9963","0.9963","0.9963"
"465","0.71","0.71","0.71"
"466","1.2082","1.2082","1.2082"
"467","1.2082","1.2082","1.2082"
"469","1.1515","1.1515","1.1515"
"472","1.4493","1.4493","1.4493"
"473","1.4493","1.4493","1.4493"
"474","1.3174","1.3174","1.3174"
"478","0.7219","0.7219","0.7219"
"482","0.5632","0.5632","0.5632"
"484","0.438","0.438","0.438"
"486","0.4158","0.4158","0.4158"
"489","0.4852","0.4852","0.4852"
"492","0.7347","0.7347","0.7347"
"493","0.7347","0.7347","0.7347"
"494","0.4018","0.4018","0.4018"
"496","0.9074","0.9074","0.9074"
"498","1.0474","1.0474","1.0474"
"499","1.0474","1.0474","1.0474"
"502","1.3476","1.3476","1.3476"
"507","0.8727","0.8727","0.8727"
"508","0.5328","0.5328","0.5328"
"510","2.7146","2.7146","2.7146"
"511","2.7146","2.7146","2.7146"
"512","1.1906","1.1906","1.1906"
"513","1.1906","1.1906","1.1906"
"515","1.0082","1.0082","1.0082"
"520","0.6234","0.6234","0.6234"
"522","0.9223","0.9223","0.9223"
"523","0.9223","0.9223","0.9223"
"528","0.6216","0.6216","0.6216"
"530","0.4101","0.4101","0.4101"
"531","0.4101","0.4101","0.4101"
"532","0.727","0.727","0.727"
"533","0.727","0.727","0.727"
"541","1.1753","1.1753","1.1753"
"543","0.7008","0.7008","0.7008"
"545","0.6296","0.6296","0.6296"
"547","0.4677","0.4677","0.4677"
"549","0.5556","0.5556","0.5556"
"552","1.1543","1.1543","1.1543"
"553","1.1543","1.1543","1.1543"
"569","1.3228","1.3228","1.3228"
"571","0.3895","0.3895","0.3895"
"576","0.5876","0.5876","0.5876"
"579","0.6203","0.6203","0.6203"
"580","0.9118","0.9118","0.9118"
"581","0.9118","0.9118","0.9118"
"588","0.6731","0.6731","0.6731"
"590","0.4303","0.4303","0.4303"
"592","1.5434","1.5434","1.5434"
"595","1.3449","1.3449","1.3449"
"598","1.5125","1.5125","1.5125"
"600","0.7479","0.7479","0.7479"
"602","0.7871","0.7871","0.7871"
"604","0.4166","0.4166","0.4166"
"606","0.2114","0.2114","0.2114"
"608","1.8334","1.8334","1.8334"
"610","0.9998","0.9998","0.9998"
"611","0.9998","0.9998","0.9998"
"612","1.0512","1.0512","1.0512"
"613","1.0512","1.0512","1.0512"
"614","0.9234","0.9234","0.9234"
"624","1.1398","1.1398","1.1398"
"625","1.1398","1.1398","1.1398"
"626","0.5999","0.5999","0.5999"
"627","0.5999","0.5999","0.5999"
"629","0.3048","0.3048","0.3048"
"631","1.4361","1.4361","1.4361"
"632","0.9158","0.9158","0.9158"
"643","0.8653","0.8653","0.8653"
"645","0.7915","0.7915","0.7915"
"646","1.078","1.078","1.078"
"649","0.5942","0.5942","0.5942"
"650","0.6813","0.6813","0.6813"
"655","0.4244","0.4244","0.4244"
"657","0.4543","0.4543","0.4543"
"659","0.2685","0.2685","0.2685"
"665","0.6011","0.6011","0.6011"
"670","0.7571","0.7571","0.7571"
"673","1.5768","1.5768","1.5768"
"674","0.2687","0.2687","0.2687"
"676","0.7469","0.7469","0.7469"
"681","0.6826","0.6826","0.6826"
"682","0.4469","0.4469","0.4469"
"690","0.799","0.799","0.799"
"694","1.6151","1.6151","1.6151"
"695","1.6151","1.6151","1.6151"
"699","0.9656","0.9656","0.9656"
"700","0.7287","0.7287","0.7287"
"704","0.9194","0.9194","0.9194"
"705","0.9194","0.9194","0.9194"
"707","0.3948","0.3948","0.3948"
"708","0.2","0.2","0.2"
"711","0.8811","0.8811","0.8811"
"716","1.0602","1.0602","1.0602"
"719","0.9697","0.9697","0.9697"
"721","1.3324","1.3324","1.3324"
"723","1.5037","1.5037","1.5037"
"724","0.6118","0.6118","0.6118"
"726","0.4109","0.4109","0.4109"
"727","0.4109","0.4109","0.4109"
"739","1.4425","1.4425","1.4425"
"741","1.0564","1.0564","1.0564"
"761","1.0596","1.0596","1.0596"
"762","1.1396","1.1396","1.1396"
"763","1.1396","1.1396","1.1396"
"764","0.2278","0.2278","0.2278"
"766","0.57","0.57","0.57"
"769","0.3422","0.3422","0.3422"
"770","0.8713","0.8713","0.8713"
"779","0.9319","0.9319","0.9319"
"780","0.52","0.52","0.52"
"792","0.4936","0.4936","0.4936"
"798","1.3056","1.3056","1.3056"
"803","0.456","0.456","0.456"
"807","0.2699","0.2699","0.2699"
"808","1.1071","1.1071","1.1071"
"809","1.1071","1.1071","1.1071"
"815","1.2127","1.2127","1.2127"
"817","1.0062","1.0062","1.0062"
"818","1.1475","1.1475","1.1475"
"820","0.1536","0.1536","0.1536"
"823","0.3992","0.3992","0.3992"
"827","0.6208","0.6208","0.6208"
"829","0.508","0.508","0.508"
"831","0.693","0.693","0.693"
"836","1.556","1.556","1.556"
"838","0.8108","0.8108","0.8108"
"839","0.8108","0.8108","0.8108"
"841","0.4641","0.4641","0.4641"
"842","0.8014","0.8014","0.8014"
"843","0.8014","0.8014","0.8014"
"844","1.3603","1.3603","1.3603"
"846","0.2388","0.2388","0.2388"
"851","0.2915","0.2915","0.2915"
"852","0.516","0.516","0.516"
"859","2.0493","2.0493","2.0493"
"861","1.1147","1.1147","1.1147"
"862","0.5303","0.5303","0.5303"
"866","0.3702","0.3702","0.3702"
"867","0.3702","0.3702","0.3702"
"870","0.4059","0.4059","0.4059"
"871","0.4059","0.4059","0.4059"
"872","0.4418","0.4418","0.4418"
"874","1.2723","1.2723","1.2723"
"875","1.2723","1.2723","1.2723"
"880","1.612","1.612","1.612"
"882","0.5548","0.5548","0.5548"
"884","0.6087","0.6087","0.6087"
"886","1.0741","1.0741","1.0741"
"889","0.7345","0.7345","0.7345"
"890","0.6671","0.6671","0.6671"
"893","0.7563","0.7563","0.7563"
"895","0.8938","0.8938","0.8938"
"896","0.4697","0.4697","0.4697"
"899","0.6637","0.6637","0.6637"
"908","2.1925","2.1925","2.1925"
"915","1.1382","1.1382","1.1382"
"918","0.8784","0.8784","0.8784"
"919","0.8784","0.8784","0.8784"
"924","0.2886","0.2886","0.2886"
"926","2.5731","2.5731","2.5731"
"927","2.5731","2.5731","2.5731"
"928","0.568","0.568","0.568"
"929","0.568","0.568","0.568"
"934","1.442","1.442","1.442"
"937","1.2516","1.2516","1.2516"
"938","1.551","1.551","1.551"
"939","1.551","1.551","1.551"
"940","0.9513","0.9513","0.9513"
"943","1.9115","1.9115","1.9115"
"946","1.3085","1.3085","1.3085"
"951","0.4909","0.4909","0.4909"
"957","1.121","1.121","1.121"
"959","1.0296","1.0296","1.0296"
"960","0.2337","0.2337","0.2337"
"965","1.0664","1.0664","1.0664"
"968","0.5711","0.5711","0.5711"
"969","0.5711","0.5711","0.5711"
"980","0.8995","0.8995","0.8995"
"982","1.7119","1.7119","1.7119"
"985","1.317","1.317","1.317"
"986","0.1079","0.1079","0.1079"
"987","0.1079","0.1079","0.1079"
"993","1.0312","1.0312","1.0312"
"994","0.4682","0.4682","0.4682"
"995","0.4682","0.4682","0.4682"
"996","0.5833","0.5833","0.5833"
"1003","0.6612","0.6612","0.6612"
"1005","0.4444","0.4444","0.4444"
"1014","1.0359","1.0359","1.0359"
"1015","1.0359","1.0359","1.0359"
"1016","0.4437","0.4437","0.4437"
"1017","0.4437","0.4437","0.4437"
"1018","0.3383","0.3383","0.3383"
"1021","0.7976","0.7976","0.7976"
"1031","0.9606","0.9606","0.9606"
"1039","0.1431","0.1431","0.1431"
"1041","0.293","0.293","0.293"
"1043","0.8453","0.8453","0.8453"
"1048","1.1849","1.1849","1.1849"
"1059","1.5663","1.5663","1.5663"
"1061","0.3604","0.3604","0.3604"
"1066","1.3644","1.3644","1.3644"
"1077","1.2449","1.2449","1.2449"
"1080","0.8465","0.8465","0.8465"
"1085","0.3599","0.3599","0.3599"
"1087","1.5676","1.5676","1.5676"
"1088","0.1363","0.1363","0.1363"
"1089","0.1363","0.1363","0.1363"
"1090","0.8467","0.8467","0.8467"
"1091","0.8467","0.8467","0.8467"
"1095","1.3532","1.3532","1.3532"
"1098","0.7204","0.7204","0.7204"
"1100","0.4404","0.4404","0.4404"
"1103","0.2342","0.2342","0.2342"
"1104","1.5519","1.5519","1.5519"
"1105","1.5519","1.5519","1.5519"
"1106","0.2604","0.2604","0.2604"
"1109","1.1521","1.1521","1.1521"
"1111","0.9883","0.9883","0.9883"
"1112","1.9452","1.9452","1.9452"
"1128","1.5662","1.5662","1.5662"
"1135","1.134","1.134","1.134"
"1137","0.2692","0.2692","0.2692"
"1140","0.4729","0.4729","0.4729"
"1142","0.3537","0.3537","0.3537"
"1143","0.3537","0.3537","0.3537"
"1158","0.5114","0.5114","0.5114"
"1161","1.1053","1.1053","1.1053"
"1169","1.1691","1.1691","1.1691"
"1170","0.2869","0.2869","0.2869"
"1172","0.5106","0.5106","0.5106"
"1173","0.5106","0.5106","0.5106"
"1182","1.4189","1.4189","1.4189"
"1183","1.4189","1.4189","1.4189"
"1186","1.0054","1.0054","1.0054"
"1189","1.0541","1.0541","1.0541"
"1195","0.8851","0.8851","0.8851"
"1197","1.0193","1.0193","1.0193"
"1198","0.8208","0.8208","0.8208"
"1199","0.8208","0.8208","0.8208"
"1204","0.3642","0.3642","0.3642"
"1208","0.2865","0.2865","0.2865"
"1210","1.5844","1.5844","1.5844"
"1213","0.9261","0.9261","0.9261"
"1219","0.9747","0.9747","0.9747"
"1221","0.3293","0.3293","0.3293"
"1225","1.2681","1.2681","1.2681"
"1226","1.5056","1.5056","1.5056"
"1227","1.5056","1.5056","1.5056"
"1235","1.8124","1.8124","1.8124"
"1237","0.515","0.515","0.515"
"1238","0.2528","0.2528","0.2528"
"1239","0.2528","0.2528","0.2528"
"1240","0.4015","0.4015","0.4015"
"1242","0.4385","0.4385","0.4385"
"1243","0.4385","0.4385","0.4385"
"1244","0.7256","0.7256","0.7256"
"1249","0.6463","0.6463","0.6463"
"1250","1.2501","1.2501","1.2501"
"1255","1.7489","1.7489","1.7489"
"1256","1.0927","1.0927","1.0927"
"1259","0.3838","0.3838","0.3838"
"1263","0.4004","0.4004","0.4004"
"1271","1.398","1.398","1.398"
"1273","0.2991","0.2991","0.2991"
"1283","1.0663","1.0663","1.0663"
"1285","0.5886","0.5886","0.5886"
"1287","0.8378","0.8378","0.8378"
"1288","0.5281","0.5281","0.5281"
"1290","0.8749","0.8749","0.8749"
"1292","0.401","0.401","0.401"
"1294","1.7259","1.7259","1.7259"
"1300","0.7877","0.7877","0.7877"
"1302","0.9557","0.9557","0.9557"
"1304","0.9699","0.9699","0.9699"
"1306","0.5088","0.5088","0.5088"
"1309","0.3078","0.3078","0.3078"
"1310","0.1344","0.1344","0.1344"
"1311","0.1344","0.1344","0.1344"
"1312","1.1567","1.1567","1.1567"
"1316","1.3225","1.3225","1.3225"
"1325","1.7133","1.7133","1.7133"
"1327","0.9761","0.9761","0.9761"
"1330","1.3627","1.3627","1.3627"
