Context,Decision,Prediction
"island.is will be maintaining and publishing content from many different government agencies and institutions. Their technical skill may vary a great deal, the content skill may also be lacking, therefore it is paramount for the system to be user friendly and intuitive.
Agencies and institutions should have enough autonomy with regards to editing content they are responsible for, to minimise the manual labour required by the island.is editors.
Which CMS system would best suit the needs of island.is?
Decision Drivers
Content needs to be editable by non technical usersContent needs to be accessible across multiple domains and platformsSetup should be simple for developers new to the projectThe system should manage flexible content structures to limit systems impact on designThe system should be user friendly and easy to use for a non technical personThe system needs to offer a suitable workflow option to ease content management once multiple agencies start to contribute","Devs narrowed the choice down to two options Contentful and Contentstack.
Both systems meet the required featureset.
A decision from management was made to use Contentful. Contentful is deemed to have a larger presence in the Icelandic dev community. Contentful is also believed to have a stronger funding base. Contentful is already implemented in some of our projects.","
Positive Consequences
The system is easy to setup and maintain for developersThe system can be customised to fit the needs of island.is and its stakeholdersChosen option: Jekyll
Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Consequences Positive Con"
"The Chimera data model (as described in ADR-15 and ADR-16) includes the concepts of _entity types_ in the domain data model: a defined entity type may have supertypes, and inherits all the attributes of a given supertype 

This is quite expressive, and is a good fit for certain types of data stores (such as Datomic, graph databases, and some object stores.) It makes it possible to compose types, and re-use attributes effectively.

However, it leads to a number of conceptual problems, as well as implementation complexities. These issues include but are not limited to:

- There is a desire for some types to be ""abstract"", in that they exist purely to be extended and are not intented to be reified in the target database (e.g, as a table.) In the current model it is ambiguous whether this is the case or not.
- A singe `extend-type` migration operation may need to create multiple columns in multiple tables, which some databases do not support transactionally.
- When doing a lookup by attribute that exists in multiple types, it is ambiguous which type is intended.
- In a SQL database, how to best model an extended type becomes ambiguous: copying the column leads to ""denormalization"", which might not be desired. On the other hand, creating a separate table for the shared columns leads to more complex queries with more joins.

All of these issues can be resolved or worked around. But they add a variable amount of complexity cost to every Chimera adapter, and create a domain with large amounts of ambigous behavior that must be resolved (and which might not be discovered until writing a particular adapter.)","The concept of type extension and attribute inheritance does not provide benefits proportional to the cost.

We will remove all concept of supertypes, subtypes and attribute inheritance from Chimera's data model.

Chimera's data model will remain ""flat"". In order to achieve attribute reuse for data stores for which that is idiomatic (such as Datomic), multiple Chimera attributes can be mapped to a single DB-level attribute in the adapter mapping metadata.
   
","Therefore, we will adopt the Chimera data model for all entities and attributes in our target domain. This will allow us to more easily compose types and reuse attributes in the future, and avoid the conceptual and implementation challenges that come with the current model.

We will use the Chimera data model for all entities and attributes in our target domain. This will allow us to more easily compose types and reuse attributes in the future, and avoid the conceptual and implementation challenges that come with the current model.We will use the Chimera data model for all entities and attributes in our target domain. This will allow us to more easily compose types and reuse attributes in the future, and avoid the conceptual and implementation challenges that come with the current model.We will adopt the Chimera data model for all entities and attributes in our target domain. This will allow us to more easily compose types and reuse attributes in the future, and avoid the conceptual and implementation challenges that come with the current model.We will adopt the Chimera data model for all entities and attributes in our target domain. This will allow us to more easily compose types and reuse attributes in the future, and avoid the conceptual and implementation challenges that come with the current model.We will adopt the Chimera data model for all entities and attributes in"
"Arachne has several very explicit goals that make the practice and
discipline of architecture very important:

- We want to think deeply about all our architectural decisions,
  exploring all alternatives and making a careful, considered,
  well-researched choice.
- We want to be as transparent as possible in our decision-making
  process.
- We don't want decisions to be made unilaterally in a
  vacuum. Specifically, we want to give our steering group the
  opportunity to review every major decision.
- Despite being a geographically and temporally distributed team, we
  want our contributors to have a strong shared understanding of the
  technical rationale behind decisions.
- We want to be able to revisit prior decisions to determine fairly if
  they still make sense, and if the motivating circumstances or
  conditions have changed.","We will document every architecture-level decision for Arachne and its
core modules with an
[Architecture Decision Record](http://thinkrelevance.com/blog/2011/11/15/documenting-architecture-decisions). These
are a well structured, relatively lightweight way to capture
architectural proposals. They can serve as an artifact for discussion,
and remain as an enduring record of the context and motivation of past
decisions.

The workflow will be:

1. A developer creates an ADR document outlining an approach for a
   particular question or problem. The ADR has an initial status of ""proposed.""
2. The developers and steering group discuss the ADR. During this
   period, the ADR should be updated to reflect additional context,
   concerns raised, and proposed changes.
3. Once consensus is reached, ADR can be transitioned to either an
   ""accepted"" or ""rejected"" state.
4. Only after an ADR is accepted should implementing code be committed
   to the master branch of the relevant project/module.
5. If a decision is revisited and a different conclusion is reached, a
   new ADR should be created documenting the context and rationale for
   the change. The new ADR should reference the old one, and once the
   new one is accepted, the old one should (in its ""status"" section)
   be updated to point to the new one. The old ADR should not be
   removed or otherwise modified except for the annotation pointing to
   the new ADR.

","- In order to achieve these goals, we will adopt the following
  decision-making process:

- Every decision will be made by a combination of the following two
  methods:

    - A formal, systematic, and iterative process of decision
      re-consideration (see ""Re-Consideration"" below) will be used to
      determine at each decision point whether the benefits of a
      particular course of action still outweigh the costs.

    - If the benefits of a particular course of action still
      outweigh the costs, we will adopt that decision unilaterally. If
      the costs outweigh the benefits, we will seek the advice and
      consent of our steering group, and seek to reach a
      consensus.

- All decisions will be made in good faith, and will be subject to
  revision if and when the circumstances or conditions on which the
  decision was made change.

- Decisions will be made in a manner that is as transparent and
  communicative as possible, and will make every effort to minimize
  the potential for ""hidden"" costs.

- Decisions will be subject to the same level of formal and
  systematic re-consideration as any other high-level technical
  decision.

- Decisions"
"The organization is planning to migrate from traditional on-premises infrastructure to cloud infrastructure. In order to achieve this, the organization has evaluated multiple cloud service providers such as Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure, and IBM Cloud. Each provider has its own set of features, benefits, and pricing structure. After a detailed analysis, it was concluded that Microsoft Azure is the most suitable option for our organization.",Adopt Microsoft Azure as the cloud infrastructure for our organization.,"We have decided to adopt Microsoft Azure as our preferred cloud infrastructure platform. Microsoft Azure offers a wide range of services, including compute, storage, networking, database, analytics, AI, and more. It also provides a robust set of tools and resources for building and deploying applications quickly and efficiently. In addition, Microsoft Azure offers a wide range of services that can be used to support our existing on-premises infrastructure needs. This includes enterprise applications, data warehousing, and business intelligence.We will use Microsoft Azure as our preferred cloud infrastructure platform. By adopting Microsoft Azure, our organization will be able to take full advantage of its advanced technology and resources, including its global network of data centers, integrated suite of cloud-based productivity and collaboration tools, and advanced analytics capabilities. In addition, Microsoft Azure can be used to support our existing on-premises infrastructure needs, including enterprise applications, data warehousing, and business intelligence. With Microsoft Azure, our organization will be able to leverage its extensive partner ecosystem and global reach to quickly and efficiently build and deploy applications. We will also be able to take advantage of its advanced technology and resources, including its global network of data centers, integrated suite of cloud-based productivity and collaboration tools, and advanced analytics capabilities. In addition, Microsoft Azure can be"
"While many Arachne applications will use a transient config which is rebuilt from its initialization scripts every time an instance is started, some users might wish instead to store their config persistently in a full Datomic instance.

There are a number of possible benefits to this approach:

- Deployments from the same configuration are highly reproducible
- Organizations can maintain an immutable persistent log of configuration changes over time.
- External tooling can be used to persistently build and define configurations, up to and including full ""drag and drop"" architecture or application design.

Doing this introduces a number of additional challenges:

- **Initialization Scripts**: Having a persistent configuration introduces the question of what role initialization scripts play in the setup. Merely having a persistent config does not make it easier to modify by hand - quite the opposite. While an init script could be used to create the configuration, it's not clear how they would be updated from that point (absent a full config editor UI.)
  
  Re-running a modified configuration script on an existing configuration poses challenges as well; it would require that all scripts be idempotent, so as not to create spurious objects on subsequent runs. Also, scripts would then need to support some concept of retraction.
- **Scope & Naming**: It is extremely convenient to use `:db.unique/identity` attributes to identify particular entities in a configuration and configuration init scripts. This is not only convenient, but *required* if init scripts are to be idempotent, since this is the only mechanism by which Datomic can determine that a new entity is ""the same"" as an older entity in the system.

  However, if there are multiple different configurations in the same database, there is the risk that some of these unique values might be unintentionally the same and ""collide"", causing inadvertent linkages between what ought to be logically distinct configurations.
 
  While this can be mitigated in the simple case by ensuring that every config uses its own unique namespace, it is still something to keep in mind.

- **Configuration Copying & Versioning** Although Datomic supports a full history, that history is linear. Datomic does not currently support ""forking"" or maintaining multiple concurrent versions of the same logical data set.

  This does introduce complexities when thinking about ""modifying"" a configuration, while still keeping the old one. This kind of ""fork"" would require a deep clone of all the entities in the config, *as well as* renaming all of the `:db.unique/identity` attrs.
  
  Renaming identity attributes compounds the complexity, since it implies that either idents cannot be hardcoded in initialization scripts, or the same init script cannot be used to generate or update two different configurations.

- **Environment-specific Configuration**: Some applications need slightly different configurations for different instances of the ""same"" application. For instance, some software needs to be told what its own IP address is. While it makes sense to put this data in the configuration, this means that there would no longer be a single configuration, but N distinct (yet 99% identical) configurations.

  One solution would be to not store this data in the configuration (instead picking it up at runtime from an environment variable or secondary config file), but multiplying the sources of configuration runs counter to Arachne's overriding philosophy of putting everything in the configuration to start with.
  
- **Relationship with module load process**: Would the stored configuration represent only the ""initial"" configuration, before being updated by the active modules? Or would it represent the complete configuration, after all the modules have completed their updates?

  Both alternatives present issues.
  
  If only the user-supplied, initial config is stored, then the usefulness of the stored config is diminished, since it does not provide a comprehensive, complete view of the configuration.
  
  On the other hand, if the complete, post-module config is persisted, it raises more questions. What happens if the user edits the configuration in ways that would cause modules to do something different with the config? Is it possible to run the module update process multiple times on the same config? If so, how would ""old"" or stale module-generated values be removed?

#### Goals

We need a technical approach with good answers to the challenges described above, that enables a clean user workflow. As such, it is useful to enumerate the specific activities that it would be useful for a persistent config implementation to support:

- Define a new configuration from an init script.
- Run an init script on an existing configuration, updating it.
- Edit an existing configuration using the REPL.
- Edit an existing configuration using a UI.
- Clone a configuration
- Deploy based on a specific configuration

At the same time, we need to be careful not to overly complicate things for the common case; most applications will still use the pattern of generating a configuration from an init script immediately before running an application using it.","We will not attempt to implement a concrete strategy for config persistence at this time; it runs the risk of becoming a quagmire that will halt forward momentum.

Instead, we will make a minimal set of choices and observations that will enable forward progress while preserving the ability to revisit the issue of persistent configuration at some point in the future.

1. The configuration schema itself should be compatible with having several configurations present in the same persistent database. Specifically:
  - Each logical configuration should have its own namespace, which will be used as the namespace of all `:db.unique/identity` values, ensuring their global uniqueness.
  - There is a 'configuration' entity that reifies a config, its possible root components, how it was constructed, etc.
  - The entities in a configuration must form a connected graph. That is, every entity in a configuration must be reachable from the base 'config' entity. This is required to have any ability to identify the config as a whole within for any purpose.

2. The current initial _tooling_ for building configurations (including the init scripts) will focus on building configurations from scratch. Tooling capable of ""editing"" an existing configuration is sufficiently different, with a different set of requirements and constraints, that it needs its own design process.

3. Any future tooling for storing, viewing and editing configurations will need to explicitly determine whether it wants to work with the configuration before or after processing by the modules, since there is a distinct set of tradeoffs.

"," Since this approach is simple and intuitive, and avoids many of the more challenging issues that would arise if a persistent config were required, we will not pursue this option.

Instead, we will focus on the more difficult cases where it is useful to store a persistent config, but where the benefits of doing so are outweighed by the costs. We will adopt the following goals:

- **Reproducibility**: It is important that users be able to reproduce their configurations as closely as possible, by running an init script.

  This will enable organizations to more easily maintain an immutable log of configuration changes over time, and to more easily automate the setup of their environments.

- **Consistency**: It is important that an entity's configuration properties are consistently defined across different entities in the same database.

  This will enable organizations to more easily maintain consistent schemas, and to more easily avoid the need to explicitly define entity properties in an init script.

- **Pluggability**: It is important that an entity's configuration properties can be plugged into other entities in the same database, without requiring that they be defined explicitly.

  This will enable organizations to more easily reuse the configuration of an application running on one database in another, without having to reconfigure their own environments.

- **IDempotency"
"Google Cloud Platform (GCP) is a prominent cloud computing platform that offers various cloud services, including computing, storage, and networking solutions. This ADR aims to document the architectural decisions made for developing and implementing a GCP-based infrastructure for our organization.","Our organization has decided to use Google Cloud Platform as the cloud infrastructure for our application. The primary considerations for this decision are:

   - Cost-effectiveness

   - Scalability

   - Reliability

   - Flexibility","We will use Google Cloud Platform (GCP) as a prominent cloud computing platform that offers various cloud services, including computing, storage, and networking solutions. This ADR will document the architectural decisions made for developing and implementing a GCP-based infrastructure for our organization.We will use Google Cloud Platform (GCP) as a prominent cloud computing platform that offers various cloud services, including computing, storage, and networking solutions. This ADR will document the architectural decisions made for developing and implementing a GCP-based infrastructure for our organization.We will use Google Cloud Platform (GCP) as a prominent cloud computing platform that offers various cloud services, including computing, storage, and networking solutions. This ADR will document the architectural decisions made for developing and implementing a GCP-based infrastructure for our organization.We will use Google Cloud Platform (GCP) as a prominent cloud computing platform that offers various cloud services, including computing, storage, and networking solutions. This ADR will document the architectural decisions made for developing and implementing a GCP-based infrastructure for our organization.We will use Google Cloud Platform (GCP) as a prominent cloud computing platform that offers various cloud services, including computing, storage, and networking solutions. This ADR will document the architectural decisions made for developing and implementing"
"We want to use a CSS framework to create our web applications:

  * We want user experience to be fast and reliable, on all popular browsers and screen sizes.

  * We want rapid iteration on design, layout, UI/UX, etc.

  * We want responsive applications, especially for smaller screens such as on mobile devices, larger screens such as on 4K widescreens, and dynamic screens such as rotatable displays.  
",Decided on Bulma.,"Decided against:

  * Bootstrap. We don't like its visual style and its reliance on third-party components, which we will avoid using at all costs.  
  * Foundation. We don't like its visual style and its reliance on third-party components, which we will avoid using at all costs.  
  * Materialize. We don't like its visual style and its reliance on third-party components, which we will avoid using at all costs.  
  * Zurb Foundation. We don't like its visual style and its reliance on third-party components, which we will avoid using at all costs.  
  * Zurb Foundation Icons. We don't like its visual style and its reliance on third-party icons, which we will avoid using at all costs.  
  * Semantic UI. We don't like its visual style and its reliance on third-party components, which we will avoid using at all costs.  
  * Skeleton. We don't like its visual style and its reliance on third-party components, which we will avoid using at all costs.  
  * Smashing UI. We don't like its visual style and its reliance on third-party components, which we will avoid using at all costs.  
  * Twitter Bootstrap. We don't like its visual"
"Our project involves developing three major categories of software:

  * Front-end GUIs
  * Middleware services
  * Back-end servers

When we develop, our source code management (SCM) version control system (VCS) is git.

We need to choose how we use git to organize our code.

The top-level choice is to organize as a ""monorepo"" or ""polyrepo"" or ""hybrid"":

  * Monorepo means we put all pieces into one big repo
  * Polyrepo means we put each piece in its own repo
  * Hybrid means some mix of monorepo and polyrepo

For more please see https://github.com/joelparkerhenderson/monorepo-vs-polyrepo
","Monorepo when an organization/team/project is relatively small, and rapid iteration is higher priority than sustaining stability.

Polyrepo when an organization/team/project is relatively large, and sustaining stability is higher priority than rapid iteration.","For more please see https://github.com/joelparkerhenderson/hybrid-vs-monorepo

We will use git as our VCS.

We will use a git-based version control system (VCS) for all of our code.

We will use a git-based version control system (VCS) for all of our code.

We will use a git-based version control system (VCS) for all of our code.

We will use a git-based version control system (VCS) for all of our code.

We will use a git-based version control system (VCS) for all of our code.

We will use a git-based version control system (VCS) for all of our code.

We will use a git-based version control system (VCS) for all of our code.

We will use a git-based version control system (VCS) for all of our code.

We will use a git-based version control system (VCS) for all of our code.

We will use a git-based version control system (VCS) for all of our code.

We will use a git-based version control system (VCS) for all of our code.

We will use a git-based version control system (VCS) for all of"
"Reflection test for TOSCA YAML builder

The TOSCA YAML builder converts Java Objects to instances of TOSCA YAML classes. To get clean an good instances validation is needed. Reflection test are Junit5 test which take yaml service templates with metadata that describes what assertions should be made for the resulting TOSCA YAML class instances. 

```
...
metadata:
  assert: |
    repositories.rp1.url = http://github.com/kleinech
    node_types.ntp1.requirements.0.rqr1.capability = cbt1
...
```
Each assert line contains a keyname and a value.
*[context and problem statement]*
*[decision drivers | forces]* <!-- optional -->

## Considered Alternatives

* *reflection tests*
* *manual test*","* Chosen Alternative: *reflection tests*
* Only alternative, which meets simplifies the effort to make complete tests 
"," *Chosen Alternative: reflection tests*

## Consequences

* [reproducibility] * JUnit5 test cases are easily readable and can be reused.
* [maintainability] * JUnit5 is the most commonly used JUnit variant and thus the one that most people are familiar with.
* [security] * Reflection tests expose the JARs that are used for TOSCA YAML services.
* [business impact] * There is no business impact related to the choice of TOSCA YAML builder.
* [costs] * There are no costs related to the choice of TOSCA YAML builder.
* [time needed] * There are no time costs related to the choice of TOSCA YAML builder.
* [chance of failure] * There is no chance of failure related to the choice of TOSCA YAML builder.
* [reliability] * There is no reliability impact related to the choice of TOSCA YAML builder.
* [reproducibility] * JUnit5 is the most commonly used JUnit variant and thus the one that most people are familiar with.
* [maintainability] * JUnit5 is the most commonly used JUnit variant and thus the one that most people are familiar with.
"
"Per [ADR-003](adr-003-config-implementation.md), Arachne uses
Datomic-shaped data for configuration. Although this is a flexible,
extensible data structure which is a great fit for programmatic
manipulation, in its literal form it is quite verbose.

It is quite difficult to understand the structure of Datomic data by
reading its native textual representation, and it is similarly hard to
write, containing enough repeated elements that copying and pasting
quickly becomes the default.

One of Arachne's core values is ease of use and a fluent experience
for developers. Since much of a developer's interaction with Arachne
will be writing to the config, it is of paramount importance that
there be some easy way to create configuration data.

The question is, what is the best way for developers of Arachne
applications to interact with their application's configuration?

#### Option: Raw Datomic Txdata

This would require end users to write Datomic transaction data by hand
in order to configure their application.

This is the ""simplest"" option, and has the fewest moving
parts. However, as mentioned above, it is very far from ideal for
human interactions.

#### Option: Custom EDN data formats

In this scenario, users would write EDN data in some some nested
structure of maps, sets, seqs and primitives. This is currently the
most common way to configure Clojure applications.

Each module would then need to provide a mapping from the EDN config
format to the underlying Datomic-style config data.

Because Arachne's configuration is so much broader, and defines so
much more of an application than a typical application config file, 
it is questionable if standard nested EDN data would be a good fit 
for representing it.

#### Option: Code-based configuration

Another option would be to go in the direction of some other
frameworks, such as Ruby on Rails, and have the user-facing
configuration be *code* rather than data.

It should be noted that the primary motivation for having a
data-oriented configuration language, that it makes it easier to
interact with programmatically, doesn't really apply in Arachne's
case. Since applications are always free to interact richly with
Arachne's full configuration database, the ability to programmatically
manipulate the precursor data is moot. As such, one major argument
against a code-based configuration strategy does not apply.","Developers will have the option of writing configuration using either
native Datomic-style, data, or code-based *configuration
scripts*. Configuration scripts are Clojure files which, when
evaluated, update a configuration stored in an atom currently in
context (using a dynamically bound var.)

Configuration scripts are Clojure source files in a distinct directory
that by convention is *outside* the application's classpath:
configuration code is conceptually and physically separate from
application code. Conceptually, loading the configuration scripts
could take place in an entirely different process from the primary
application, serializing the resulting config before handing it to the
runtime application.

To further emphasize the difference between configuration scripts and
runtime code, and because they are not on the classpath, configuration
scripts will not have namespaces and will instead include each other
via Clojure's `load` function.

Arachne will provide code supporting the ability of module authors to
write ""configuration DSLs"" for users to invoke from their
configuration scripts. These DSLs will emphasize making it easy to
create appropriate entities in the configuration. In general, DSL
forms will have an imperative style: they will convert their arguments
to configuration data and immediately transact it to the context
configuration.

As a trivial example, instead of writing the verbose configuration data:

```clojure
{:arachne/id :my.app/server
 :arachne.http.server/port 8080
 :arachne.http.server/debug true}
 ```

You could write the corresponding DSL:

```clojure
(server :id :my.app/server, :port 8080, :debug true)
```

Note that this is an illustrative example and does not represent the
actual DSL or config for the HTTP module.

DSLs should make heavy use of Spec to make errors as comprehensible as possible.

"," However,
the ability to write code to manipulate the configuration data is
still a very powerful tool, and one that could be very useful in
some situations.

#### Option: Configuration metadata

Another option would be to have configuration metadata, such as the
EDN schema, stored as a separate config atom. This configuration
metadata would be used by the code-based configuration strategy to
generate code to manipulate the precursor data.

This would be a more flexible option, as it would allow users to
generate configuration data in a more traditional textual
format, and would not require modifying the underlying EDN data
format.

However, it would be more cumbersome to implement, and would likely
require additional configuration metadata to be generated for
every configuration format supported by Arachne.

#### Option: Custom EDN schema

In this scenario, users would write EDN schema data directly in the
config atom, similar to how they would write a Datomic schema
definition. This configuration metadata would be used by the code-
based configuration strategy to generate code to manipulate the
predecessor config atom.

This is the most flexible option, as it allows users to write
configuration data in whatever format they desire, and would not
require modifying the underlying EDN data format.

"
