File Name,Context,Decision,tokens,id,Context_tokens,Decision_tokens
cdh-adrs/0011-pentaho.md,"## Context\nWe currently have certain specific feeds being parsed using pentaho, these are legacy feeds which transform data feed files into PriveXMl format. These feed parsers will require migration into new CDH ETL feeds parsers based on defined standard library.\n","Due to limited resources and time constraints, we will defer the feed migration from pentaho to the CDH ETL till adequate human resources are available, more so an indept understanding of exactly how the parsers work is required, which will require talking with Christopher on this.\n",52,1,52,55
cdh-adrs/0006-etl_cdh_communication.md,## Context\nWe wish to segment into separate processes where the data feed files processing is handled by the ETL service and the CDH service is reponsible for consuming these produced output which then are materialized into records which is used in response to request to the CDH service. This means ETL service must be able to communicate to the CDH service loosely without direct connection or dependence between either.\n,We have chosen an event based communication where the CDH and ETL service communicate results between each other over an event queue based on specified topics (deployed onsite within geozone of CDH and ETL services).\n![Event Queue](../assets/images/workflows/image3.png)\n,81,4,81,58
modiapersonoversikt/0002-selvstendig-visittkort-som-library.md,"## Context\nModiapersonoversikt (denne frontenden) blir utviklet som en selvstendig frontend som på sikt skal erstatte frontenden i dagens modiabrukerdialog. For å kunne levere fortløpende ny funksjonalitet til saksbehandlerene, ønsker vi å levere ofte og smått.\n",Visittkortet dras inn som en enkeltstående react-komponent inn til modiabrukerdialog.\n,81,43,81,29
modiapersonoversikt/0001-record-architecture-decisions.md,## Context\nWe need to record the architectural decisions made on this project.\n,"We will use Architecture Decision Records, as described by Michael Nygard in this article: http://thinkrelevance.com/blog/2011/11/15/documenting-architecture-decisions\n",16,44,16,39
mokka/0003-upgrade-to-spring-boot-2-2-1.md,## Context\nCurrently used: 2.1.0\nThe latest stable version of Spring Boot is 2.2.1:\nhttps://github.com/spring-projects/spring-boot/wiki/Spring-Boot-2.2-Release-Notes\nMore frequent but smaller upgrades are recommended.\n,Spring Boot will be upgraded to 2.2.1.\nAccording to release notes no migration needed on Mokka side.\n,63,46,63,28
mokka/0001-record-architecture-decisions.md,## Context\nWe need to record the architectural decisions made on this project.\n,"We will use Architecture Decision Records, as [described by Michael Nygard](http://thinkrelevance.com/blog/2011/11/15/documenting-architecture-decisions).\n",16,48,16,39
copilot/0005-enable-grpc-gzip-compression-between-copilot-and-route-syncer.md,## Context\nThe GRPC default message size of 4 mb currently causing a bottleneck between cc-route-syncer and copilot. As our message sizes increased with scale this prevents us from sending messages to copilot.\n,We have decided to reduce the message size by enabling GRPC's GZIP compression between cc-route-syncer and copilot.\n,44,52,44,26
copilot/0002-use-event-streaming-model-for-diego-actuallrp-syncing.md,## Context\nThe diego ActualLRP syncing model as currently implemented will fetch all LRPs\nacross all diego cells at a specified time interval (at the time of writing 10\nseconds). As the ActualLRP count grows on a cloudfoundry deployment this could\nimpact the performance of the BBS (large response sets coming back).\n,We want to use the [Event package](https://github.com/cloudfoundry/bbs/blob/master/doc/events.md)\nto get the event stream for each ActualLRP. We will also use a bulk sync every\n60 seconds to catch any events that were missed.\n,75,53,75,58
copilot/0001-record-architecture-decisions.md,## Context\nWe need to record the architectural decisions made on this project.\n,"We will use Architecture Decision Records, as [described by Michael Nygard](http://thinkrelevance.com/blog/2011/11/15/documenting-architecture-decisions).\n",16,54,16,39
ELEN4010/ADR Reordering Destinations.md,"## Context\nA list of destinations should be reorderable, not fixed\n","A trip is made up of a list of destinations. This list should be able to be reordered, on the main site or the mobile version of the site. Draggable would be the best, but a button for moving an extry up and down will also work.\n",15,59,15,55
